5,3
6,8
7,2
8,6
9,3
10,6
11,5
12,1
13,5
14,3
15,3
16,8
17,3
18,4
19,2
20,4
21,4
22,6
23,1
24,4
25,8
26,4
27,7
28,8
29,3
30,2
31,2
32,6
33,6
34,4
35,4
36,2
37,8
38,3
39,3
40,2
41,3
42,8
43,2
44,8
45,3
46,4
47,3
48,1
49,3
50,1
51,5
52,1
53,4
54,4
55,6
56,6
57,6
58,3
59,4
60,1
61,4
62,7
63,5
64,5
65,7
66,6
67,2
68,6
69,3
70,7
71,4
72,2
73,1
74,5
75,7
76,8
77,1
78,5
79,8
80,5
81,2
82,5
83,4
84,6
85,2
86,5
87,3
88,8
89,8
90,2
91,8
92,3
93,4
94,7
95,8
96,6
97,5
98,5
99,2
100,3
101,1
102,5
103,8
104,6
105,5
106,6
107,8
108,5
109,6
110,2
111,1
112,7
113,7
114,5
115,5
116,8
117,3
118,2
119,3
120,5
121,2
122,2
123,2
124,4
125,2
126,2
127,6
128,8
129,5
130,4
131,7
132,4
133,4
134,2
135,6
136,8
137,3
138,8
139,2
140,2
141,5
142,4
143,2
144,7
145,6
146,4
147,6
148,3
149,8
150,5
151,1
152,8
153,8
154,8
155,4
156,6
157,4
158,2
159,4
160,6
161,2
162,8
163,7
164,6
165,6
166,6
167,6
168,3
169,2
170,7
171,5
172,5
173,6
174,4
175,3
176,3
177,2
178,4
179,2
180,7
181,3
182,4
183,2
184,7
185,5
186,3
187,6
188,5
189,2
190,7
191,8
192,8
193,6
194,6
195,5
196,1
197,3
198,4
199,8
200,3
201,8
202,2
203,3
204,5
205,6
206,7
207,3
208,2
209,4
210,7
211,2
212,6
213,4
214,6
215,1
216,4
217,7
218,8
219,1
220,6
221,8
222,2
223,8
224,6
225,6
226,8
227,8
228,4
229,4
230,1
231,2
232,2
233,3
234,4
235,1
236,3
237,6
238,4
239,5
240,8
241,3
242,6
243,8
244,1
245,7
246,2
247,6
248,4
249,5
250,8
251,4
252,4
253,3
254,6
255,6
256,5
